,location_type,osmid,location_lat,location_long,tags
0,node,30673915,37.4007316,-122.1031527,parking
1,node,65377793,37.326929,-121.950188,social_facility
2,node,65388568,37.4581974,-121.8736807,parking
3,node,65413768,37.4136726,-122.1576349,school
4,node,65437224,37.3883394,-122.07377,school
5,node,65439758,37.467003,-122.1311609,school
6,node,65443893,37.2277326,-121.7909411,school
7,node,65444379,37.3206223,-121.848131,school
8,node,65450056,37.3989592,-121.8532993,school
9,node,65455620,37.3258942,-121.8500335,school
10,node,65458725,37.3661015,-121.8829078,recycling
11,node,65461470,37.3220471,-121.7835878,school
12,node,65479717,37.3215112,-121.8621902,university
13,node,65484358,37.4280563,-122.1653563,college
14,node,65492478,37.2965622,-121.8361466,place_of_worship
15,node,65493880,37.3249296,-121.9388273,parking
16,node,65499414,37.3928665,-121.8480533,school
17,node,65503487,37.3500961,-122.0090537,school
18,node,65520000,37.3100123,-121.8380587,school
19,node,65546165,37.3259291,-121.8468257,school
20,node,65550817,37.3217998,-121.8400144,school
21,node,65565270,37.3246086,-121.9061028,school
22,node,65575270,37.2651589,-121.942548,parking
23,node,65639231,37.2450707,-121.9261894,school
24,node,65675503,37.2835546,-121.9548847,school
25,node,91101014,37.2568132,-122.1239511,parking
26,node,135404710,37.4414382,-122.1715345,parking
27,node,147437189,37.3813781,-122.0624292,parking
28,node,150112038,37.3719564,-122.0367821,atm
29,node,150936992,37.4877154,-122.1971873,trailer_park
30,node,150939705,37.4882708,-122.2057986,trailer_park
31,node,150951919,37.4868821,-122.1907983,trailer_park
32,node,150953343,37.4871953,-122.1946168,trailer_park
33,node,150953624,37.4016071,-122.0585727,trailer_park
34,node,150963389,37.4882708,-122.2049653,trailer_park
35,node,150978590,37.4802155,-122.2038542,trailer_park
36,node,150980804,37.4877154,-122.2013541,trailer_park
37,node,152218814,37.3800636,-122.0734947,fuel
38,node,152336697,37.418954,-122.0237799,parking
39,node,157513849,37.3576482,-122.0526598,school
40,node,183968056,37.373057,-122.0826578,parking
41,node,183983963,37.3721451,-122.0788048,school
42,node,187552283,37.4301772,-122.0772859,parking
43,node,187657994,37.3772226,-122.0634009,post_box
44,node,189716292,37.3621783,-122.0072443,school
45,node,189845764,37.381165,-122.0701271,fuel
46,node,191308709,37.441703,-122.1713117,parking
47,node,191338642,37.3699269,-122.0458634,post_box
48,node,193206617,37.4060647,-122.078426,fuel
49,node,198500537,37.4450152,-122.1666708,parking
50,node,202234273,37.3666559,-122.03875,parking
51,node,202244013,37.3642383,-122.0372628,parking
52,node,202244500,37.3642206,-122.0389928,parking
53,node,202244582,37.3662372,-122.03695,parking
54,node,202278183,37.3789111,-122.0716905,parking
55,node,202282357,37.3706701,-122.0571318,fuel
56,node,202282365,37.370491,-122.038814,post_box
57,node,204509370,37.3734529,-122.0560572,fuel
58,node,207642885,37.4477618,-122.158496,parking
59,node,207642890,37.4481229,-122.1580522,parking
60,node,222043084,37.3722121,-122.0793462,parking
61,node,222073962,37.3896485,-122.0860189,parking
62,node,224571547,37.3704839,-122.0818565,parking
63,node,225256068,37.3868052,-122.0791051,post_box
64,node,240281830,37.2997862,-122.0784226,parking
65,node,240282561,37.3036743,-122.0732186,parking
66,node,240983074,37.341672,-122.025652,toilets
67,node,240987418,37.3572756,-122.0412976,post_box
68,node,241000729,37.3659311,-122.0614168,post_box
69,node,241010153,37.3430458,-122.0277286,school
70,node,247135963,37.4589306,-122.1053313,parking
71,node,248088358,37.4299799,-121.9794588,parking
72,node,248214405,37.3339307,-121.8105836,parking
73,node,248215107,37.3391448,-121.8105528,parking
74,node,255996617,37.4264941,-122.0815706,theatre
75,node,255997128,37.4186472,-122.0704238,bicycle_parking
76,node,255997129,37.4186502,-122.0712454,bicycle_parking
77,node,256568484,37.4271421,-122.1686179,bicycle_parking
78,node,256568866,37.4269888,-122.1715055,parking
79,node,256917864,37.4070007,-122.0785861,fuel
80,node,257037727,37.4222742,-122.0884842,parking
81,node,257037742,37.4216783,-122.0870464,parking
82,node,257037802,37.4232393,-122.0890918,parking
83,node,257037825,37.4230183,-122.0877488,parking
84,node,257037831,37.4232285,-122.0870288,parking
85,node,257037881,37.421987,-122.0883025,parking
86,node,257167889,37.4078372,-122.0807547,place_of_worship
87,node,257807611,37.2511415,-121.876081,bank
88,node,257942147,37.2412084,-121.7645899,parking
