,osmid,highway,lon,lat,geometry
0,65536002,turning_circle,-122.1367804,37.4071341,POINT (-122.1367804 37.4071341)
1,65536006,,-121.7790292,37.327533,POINT (-121.7790292 37.327533)
2,65536007,,-121.7783579,37.3252159,POINT (-121.7783579 37.3252159)
3,6908411927,,-121.7909908,37.2401168,POINT (-121.7909908 37.2401168)
4,6908411933,,-121.7867339,37.2417093,POINT (-121.7867339 37.2417093)
5,6908411936,,-121.7872686,37.2428454,POINT (-121.7872686 37.2428454)
6,6908411945,,-121.7860906,37.2412839,POINT (-121.7860906 37.2412839)
7,6908411946,,-121.7890208,37.2408084,POINT (-121.7890208 37.2408084)
8,1155924011,turning_circle,-121.9143715,37.2182357,POINT (-121.9143715 37.2182357)
9,6908411949,,-121.7877869,37.2423555,POINT (-121.7877869 37.2423555)
10,6908411950,stop,-121.7868864,37.2432604,POINT (-121.7868864 37.2432604)
11,568983599,,-121.9331242,37.4769075,POINT (-121.9331242 37.4769075)
12,65667119,,-121.9290956,37.2372427,POINT (-121.9290956 37.2372427)
13,65404981,,-121.9109661,37.4159554,POINT (-121.9109661 37.4159554)
14,65536054,,-121.8422327,37.2730033,POINT (-121.8422327 37.2730033)
15,65667125,turning_circle,-121.9357351,37.2762389,POINT (-121.9357351 37.2762389)
16,65536056,,-121.8429363,37.2714652,POINT (-121.8429363 37.2714652)
17,6908411962,,-121.7884207,37.24188,POINT (-121.7884207 37.24188)
18,6908411963,,-121.7873772,37.241231,POINT (-121.7873772 37.241231)
19,65667131,turning_circle,-121.936089,37.2746874,POINT (-121.936089 37.2746874)
20,6908411966,,-121.7880173,37.2421826,POINT (-121.7880173 37.2421826)
21,6908411967,,-121.7869726,37.2415318,POINT (-121.7869726 37.2415318)
22,65667136,traffic_signals,-121.8965836,37.333333,POINT (-121.8965836 37.333333)
23,1155924030,turning_circle,-121.9124051,37.2190591,POINT (-121.9124051 37.2190591)
24,65536066,,-121.8416361,37.2700776,POINT (-121.8416361 37.2700776)
25,1155924035,turning_circle,-121.9109056,37.2203934,POINT (-121.9109056 37.2203934)
26,65405002,motorway_junction,-122.1253366,37.4473203,POINT (-122.1253366 37.4473203)
27,65536079,turning_circle,-121.8431767,37.271554,POINT (-121.8431767 37.271554)
28,65405009,,-122.1189648,37.4448575,POINT (-122.1189648 37.4448575)
29,65536086,turning_circle,-122.0331107,37.2789958,POINT (-122.0331107 37.2789958)
30,65467632,,-121.7840733,37.3078267,POINT (-121.7840733 37.3078267)
31,1781792861,,-122.1969676,37.4245438,POINT (-122.1969676 37.4245438)
32,65467634,,-121.7829441,37.3075099,POINT (-121.7829441 37.3075099)
33,344850531,,-121.9027934,37.3239352,POINT (-121.9027934 37.3239352)
34,65405029,,-122.2001819,37.4771962,POINT (-122.2001819 37.4771962)
35,65405031,,-122.1999112,37.4776647,POINT (-122.1999112 37.4776647)
36,65405032,,-122.1987486,37.4795917,POINT (-122.1987486 37.4795917)
37,65405034,,-122.1977469,37.4813001,POINT (-122.1977469 37.4813001)
38,65405036,,-122.1965984,37.4831547,POINT (-122.1965984 37.4831547)
39,65405060,,-122.2036964,37.4715692,POINT (-122.2036964 37.4715692)
40,65405062,,-122.2021385,37.4740989,POINT (-122.2021385 37.4740989)
41,6242959496,,-122.1368248,37.4320408,POINT (-122.1368248 37.4320408)
42,65405068,,-122.2008673,37.4762616,POINT (-122.2008673 37.4762616)
43,65536142,,-121.9043251,37.2671235,POINT (-121.9043251 37.2671235)
44,65667216,,-121.7974483,37.3866625,POINT (-121.7974483 37.3866625)
45,65536144,,-121.905187,37.2668852,POINT (-121.905187 37.2668852)
46,65536152,,-121.9067026,37.2650879,POINT (-121.9067026 37.2650879)
47,65405085,,-121.9019254,37.372146,POINT (-121.9019254 37.372146)
48,65536159,,-121.998025,37.3993028,POINT (-121.998025 37.3993028)
49,65536161,turning_circle,-121.9980089,37.3989036,POINT (-121.9980089 37.3989036)
50,65667237,,-121.8501712,37.2435071,POINT (-121.8501712 37.2435071)
51,65536167,,-121.9642742,37.2224876,POINT (-121.9642742 37.2224876)
52,53084329,,-121.9215044,37.5104825,POINT (-121.9215044 37.5104825)
53,53084330,turning_circle,-121.9215951,37.5099345,POINT (-121.9215951 37.5099345)
54,65667242,,-121.9041148,37.3986578,POINT (-121.9041148 37.3986578)
55,65405104,,-121.8998066,37.3682184,POINT (-121.8998066 37.3682184)
56,65405107,,-121.8995056,37.3680467,POINT (-121.8995056 37.3680467)
57,65405138,,-121.924981,37.2973172,POINT (-121.924981 37.2973172)
58,65536212,,-121.8564559,37.3290875,POINT (-121.8564559 37.3290875)
59,65405141,,-121.9245357,37.2968733,POINT (-121.9245357 37.2968733)
60,65536216,,-121.8560991,37.3293215,POINT (-121.8560991 37.3293215)
61,3972268249,,-121.9127311,37.3984802,POINT (-121.9127311 37.3984802)
62,65667289,turning_circle,-122.0540503,37.3441578,POINT (-122.0540503 37.3441578)
63,3972268251,,-121.9133166,37.3984414,POINT (-121.9133166 37.3984414)
64,65405147,,-122.1415577,37.4227219,POINT (-122.1415577 37.4227219)
65,65405149,,-122.1427496,37.4220648,POINT (-122.1427496 37.4220648)
66,65536222,,-121.8544045,37.3303647,POINT (-121.8544045 37.3303647)
67,5025038559,,-122.1085187,37.4087563,POINT (-122.1085187 37.4087563)
68,65405154,,-121.8851034,37.2860012,POINT (-121.8851034 37.2860012)
69,65667317,turning_circle,-121.782432,37.2770886,POINT (-121.782432 37.2770886)
70,65667324,turning_circle,-122.040252,37.3032269,POINT (-122.040252 37.3032269)
71,65536256,,-121.8524489,37.3315186,POINT (-121.8524489 37.3315186)
72,65405190,,-122.1012538,37.4287242,POINT (-122.1012538 37.4287242)
73,65536262,,-121.7926435,37.2320439,POINT (-121.7926435 37.2320439)
74,65536263,,-121.7899742,37.2320166,POINT (-121.7899742 37.2320166)
75,65536266,,-121.7895536,37.2320371,POINT (-121.7895536 37.2320371)
76,65667339,,-121.7930076,37.3867324,POINT (-121.7930076 37.3867324)
77,65536270,,-121.7869701,37.2295496,POINT (-121.7869701 37.2295496)
78,65667343,,-121.7982938,37.3214895,POINT (-121.7982938 37.3214895)
79,65536278,turning_circle,-121.964055,37.2673238,POINT (-121.964055 37.2673238)
80,65667350,,-121.9245755,37.2353267,POINT (-121.9245755 37.2353267)
81,65667354,,-121.9225826,37.2334624,POINT (-121.9225826 37.2334624)
82,193200416,traffic_signals,-122.0595606,37.3972941,POINT (-122.0595606 37.3972941)
83,1781793062,,-122.2056234,37.4247052,POINT (-122.2056234 37.4247052)
84,65667375,,-122.025575,37.2732744,POINT (-122.025575 37.2732744)
85,313262407,,-121.8428278,37.3913659,POINT (-121.8428278 37.3913659)
86,65405256,,-122.054814,37.2677955,POINT (-122.054814 37.2677955)
87,257425776,,-122.1930397,37.4766501,POINT (-122.1930397 37.4766501)
88,53084532,,-122.0095226,37.5243467,POINT (-122.0095226 37.5243467)
89,53084537,,-122.0149029,37.5249213,POINT (-122.0149029 37.5249213)
90,53084539,,-122.0157503,37.5251164,POINT (-122.0157503 37.5251164)
91,7601914241,,-121.9212858,37.3392069,POINT (-121.9212858 37.3392069)
92,65405322,,-121.8326013,37.446067,POINT (-121.8326013 37.446067)
93,65667471,turning_circle,-121.9100957,37.3350017,POINT (-121.9100957 37.3350017)
94,65667479,,-121.8869592,37.2447374,POINT (-121.8869592 37.2447374)
95,314048924,turning_circle,-121.7954673,37.2875297,POINT (-121.7954673 37.2875297)
96,200016295,,-122.0880702,37.3868272,POINT (-122.0880702 37.3868272)
97,6289621419,,-122.1643831,37.4144296,POINT (-122.1643831 37.4144296)
98,6289621422,turning_circle,-122.1651568,37.4128493,POINT (-122.1651568 37.4128493)
99,65667504,,-121.8439259,37.2482962,POINT (-121.8439259 37.2482962)
